	NZ_CP023661	NZ_CP018854	NZ_CP009037	NZ_CP075325	NC_003919	NZ_CP009025	NZ_CP020889	NZ_CP060453	NZ_CP060002	NZ_CP023662	NZ_CP060446	NZ_CP059999	NZ_CP011827	NZ_CP018850	NZ_CP096227	NZ_CP060460	NZ_CP012002	NZ_CP009001	NZ_CP060470	NZ_CP009040	NZ_CP009004	NZ_CP008995	NZ_CP011160	NZ_CP008992	NZ_CP008989	NZ_CP008998	NZ_CP009019	NZ_CP020885	NZ_CP023285	NZ_CP009010	NZ_CP060465	NZ_CP009016	NZ_CP020882	NZ_CP009031	NZ_CP011250	NZ_CP009013	NZ_CP018858	NZ_CP009007	NZ_CP009022	NZ_CP009028	NZ_CP018847	NC_020815	NZ_CP011163
NZ_CP023661	1.0	1.040334914995403	1.004728039829835	1.0494343415455099	1.0234097673476383	1.0234097673476383	0.9921370747822292	0.9913382575226342	1.0507945319682732	1.0329283733034142	0.9952838421142848	1.0404554875103236	1.032882988172596	1.0374191638227914	1.061822339613233	0.9883112835616225	0.8427023436647811	1.0248712464743739	1.000571891605504	1.004732519907126	1.0173308868215605	1.0234097673476383	0.8520004519034485	1.0288279338662678	1.0249189690368223	1.0212297227806086	1.0329840820905989	1.0157718199242671	1.0442791360852695	1.0329229192962772	0.9921933679273215	1.0329840820905989	0.9921362956383526	1.0047274554719274	0.8542159475168685	1.0485089134059495	1.0369222648154208	1.0234097673476383	1.0234292459445562	1.0234097673476383	1.0332953500693438	1.004661033456438	0.8532507830395961
NZ_CP018854	1.0350951620867983	1.0	0.9900525753959241	1.0323096041185869	1.0396646942494983	1.0377221876388127	0.9818327277575919	0.9800993366445548	1.033318746283791	1.0387018714577307	0.9876949386684982	1.0236703626554993	1.0355182382048393	1.0634474637526676	1.0359986805761743	0.9728777780964792	0.84095787689047	1.0295005957562926	0.9966830289691827	0.9899614870883293	1.0156817242745302	1.0377206371995347	0.8498430567840634	1.0223207052638188	1.0300709636057637	1.0297337430627533	1.0492028028841272	1.0127498435994378	1.0317900131554774	1.0251128525989626	0.9726027689295069	1.0491971825417437	0.9818346658066897	0.9900519939811947	0.8524295771099347	1.0430431014367145	1.038282865242795	1.0454743840298553	1.0415847194906498	1.0357887898588867	1.0501883008503383	0.9938590976288357	0.8512347698411652
NZ_CP009037	0.9693622100974209	0.9600386458468212	1.0	0.9655449836792522	0.9660756969228969	0.9660756969228969	1.0400338949860566	0.9632345769450574	0.9611619011787134	0.9602624700228767	0.9745894724458533	0.9609360097768505	0.9601891774715235	0.9608679792548253	0.9657453166529509	0.9682911991995702	0.8162882735112639	0.9581163137755605	0.9855916240520595	1.0037553975735656	0.9583762204384361	0.9660756969228969	0.822888173795808	0.9600813058703012	0.960026054562358	0.9583630653651163	0.9584220752654365	0.9926940481374201	0.9624112572848568	0.9621158319240178	0.9625909180004815	0.9603017473132173	1.0449176219912233	0.9999998120703811	0.8273612745837782	0.962115643994399	0.9620182964518325	0.9660756969228969	0.9660745693451837	0.9660756969228969	0.9622599739416791	1.0000009396480942	0.8248069352043105
NZ_CP075325	1.0366436901214195	1.0248896325394676	0.9885740046917716	1.0	1.0290570816811566	1.0329085904982391	0.9772807735881585	0.9832659378617343	1.043182808228456	1.0308276558998104	0.9852883792453759	1.0304899730315493	1.0307970624091816	1.0416271580917666	1.0571609548555525	0.9760495298992685	0.8345650259833017	1.0269967351550378	0.9919375569539196	0.9865121188705268	1.0115885833559097	1.0329085904982391	0.8455521297687363	1.0228619960347758	1.0267200468561437	1.0231427249833756	1.0193014139965026	0.993174572999532	1.0221367956185503	1.0193016064083935	0.9760223998226732	1.0192987202300323	0.9772484483905131	0.9865080782208211	0.8459461893209861	1.027004239218777	1.015234211449893	1.036757405548851	1.0329343736915992	1.0329085904982391	1.0193304681920055	0.9864420809422949	0.8471358720414748
NC_003919	1.0151612754885757	1.0365056571721598	0.9932511572674152	1.0333577816017376	1.0	0.9999998067839694	0.9823839148427396	0.9903753298680682	1.035195072836647	1.0327236465893312	0.9904234406596859	1.022976284277973	1.0172072400365255	1.0447069048067126	1.0596884893868366	0.976891749173132	0.8362380143265823	1.0015461146768057	0.998908909075241	0.993166721862046	0.9940651764043038	0.9999998067839694	0.8453189745484252	0.9938690621332518	0.9938624927882117	0.9940651764043038	0.9941399510081432	1.0036073432911723	1.069543666243266	1.001801353053219	0.9807425446628516	0.9941399510081432	0.9824248766412252	0.9931626643254036	0.8476682882644061	1.009535790757859	1.034786227715912	1.0038647070439222	1.0038569784026985	0.9999998067839694	1.0309174631353475	0.9930967776589714	0.847010774112298
NZ_CP009025	1.0151620600709104	1.0345698524794467	0.9932519249161925	1.0372261885210268	1.0000005796485398	1.0	0.9823875723353074	0.9867496208132469	1.0274633613818822	1.0288620533083441	0.9906632145375853	1.0191146834635934	1.0172091854971936	1.04468645844403	1.051957569726889	0.9771309329443247	0.8362510264609558	1.0015461158717431	1.0030141724067974	0.9931665233646666	0.994065171817488	0.99999980678382	0.8453186617847378	0.9938690573948662	0.9938624880447489	0.994065171817488	0.9941399464791182	1.0036059935659012	1.0618162320912754	1.0018013544454212	0.9809817314101883	0.9941399464791182	0.9824285341654511	0.9931624658248882	0.8476813092328351	1.0095357981277353	1.036719575697269	0.99999980678382	1.0038569813836211	0.99999980678382	1.0289891895547334	0.9930965791075345	0.8470104626561428
NZ_CP020889	0.9542761860600184	0.9491455309342813	1.0368414199465108	0.9515848637711298	0.9525727748347783	0.952575585126065	1.0	0.9511556386152759	0.9485156509805575	0.9562383314363867	0.9587885771026834	0.9504744240073817	0.9491768188439399	0.9512796661373951	0.9572446030697749	0.9593890426742732	0.8134953934641992	0.946618517009288	0.9706037910829457	1.0480497983616002	0.9548524831265427	0.952634788595838	0.8205859457332753	0.9469486325590981	0.946926337581557	0.950593393005185	0.9431693528367548	0.9753994594873092	0.9516262687294205	0.9508708624315577	0.9592925560067634	0.9431691654840024	1.016072992632353	1.0437230738966095	0.8245327188163053	0.9508701130205479	0.9493662324766629	0.952634788595838	0.9526284186022548	0.9526214865504142	0.9496069807635561	1.0329954426442967	0.821635308499726
NZ_CP060453	0.9827916852129532	0.9765682434148212	0.9897695947753059	0.986816414453262	0.9898147817363573	0.9861903626253624	0.9803672309565442	1.0	0.979589011071771	0.9813037983116684	1.0347951186495665	0.9805680618945503	0.9793281239590343	0.9804160869443477	0.9824607003785857	1.0113819003048188	0.8342988345046862	0.9852939614578395	1.0599696629419608	0.9935517820366381	0.9838166954234685	0.9900461235284065	0.8439734787297829	0.9860428291285965	0.9857709349356037	0.987914998305489	0.9841106037769733	0.9895693431573134	0.9798431394510171	0.987392451653331	1.0077287082998212	0.9841106037769733	0.980596834788553	0.9935544855300343	0.8457008179033056	0.9876498628459868	0.9760677109231755	0.9859511034597956	0.9900461235284065	0.9898076367895243	0.9763264738625292	0.9977006788665025	0.8457527635978477
NZ_CP060002	1.0389616567577822	1.0268545213979905	0.9850101399954934	1.0441620396316862	1.0318544154721117	1.024146863342135	0.9750430925734404	0.9769807657863263	1.0	1.0407558485529562	0.9793833573111005	1.036942902099451	1.0484362451394467	1.04468685421325	1.053715976126233	0.960461143498751	0.8353465028089617	1.0234032636726236	0.9844454587649812	0.990651559710418	1.0236380339386515	1.0318919710109757	0.8455799056681901	1.0387677161032374	1.038779849431178	1.0236355302360607	1.052394406343227	0.9913512482883341	1.0453301131866164	1.013983949340467	0.9640720604124176	1.0526006729182193	0.9749883963014535	0.9906633078533447	0.8467381570052636	1.0293957795278017	1.0306888456197723	1.024183841103478	1.0318915858259619	1.0280343430958474	1.0309463418016258	0.9905939745508261	0.8461349572733523
NZ_CP023662	1.0347290272250846	1.0457797664971806	0.9970313601849478	1.045365710122293	1.0429297630044336	1.039029203657589	0.9959101688889513	0.9915629672036912	1.0544441205360644	1.0	0.9914177938092913	1.0633519912365221	1.0507310768236529	1.0490408994818636	1.0872888205169031	0.9808332094286217	0.844487294010856	1.0544019734215613	1.0043899341763536	1.0028187834079298	1.0507589797744583	1.0429547390722873	0.8534921420997771	1.0309525677153883	1.0387536864090776	1.0507589797744583	1.039034472046902	1.0001551247964353	1.0600315400906866	1.0507589797744583	0.9847279150095631	1.0390348622979622	0.9919208274259079	1.0028146857717977	0.8560297496188223	1.0585649766064003	1.042115699292826	1.0390485210850697	1.0468496397787588	1.0429543488212272	1.0384773886584457	1.002777221670017	0.8554593976943187
